,Address,Price,Beds,Source,lat,long
63,"104 S  Grove St, Urbana, IL 61802",760,1bd,Trulia,40.11272906122449,-88.20132573469388
65,"2309 Rainbow Vw, Urbana, IL 61802",1700,3bd,Trulia,40.10373576860911,-88.17825594921158
66,"205 W  Park St, Urbana, IL 61801",2500,4bd,Trulia,40.117349918367346,-88.209254
67,"211 W  Illinois St, Urbana, IL 61801",760,1bd,Trulia,40.1091195136946,-88.20913601122628
68,"1903 E  Florida Ave, Urbana, IL 61802",1450,3bd,Trulia,40.098717,-88.183655
69,"402 S  Grove St, Urbana, IL 61801",1200,2bd,Trulia,40.109888653061226,-88.20124169387755
70,"2405 Whitson Cir, Urbana, IL 61801",1450,3bd,Trulia,40.08641267982914,-88.19238597478933
71,"711 S  Lynn St, Urbana, IL 61801",1250,2bd,Trulia,40.10750723232323,-88.19801924242424
72,"606 S  Broadway Ave, Urbana, IL 61801",2100,6bd,Trulia,40.10825360231243,-88.20720653001335
73,"2643 Muirfield Pl, Urbana, IL 61802",5000,3bd,Trulia,40.08521620493386,-88.17204486734542
74,"704 W  Western Ave, Urbana, IL 61801",1175,2bd,Trulia,40.112228,-88.21775
76,"707 E  Green St, Urbana, IL 61802",2000,6bd,Trulia,40.110782,-88.199317
77,"214 W  Vermont Ave, Urbana, IL 61801",1850,3bd,Trulia,40.099960656565656,-88.20994482828283
78,"606 E  Elm St, Urbana, IL 61802",815,1bd,Trulia,40.112021999999996,-88.20075
79,"601 W  Nevada St, Urbana, IL 61801",2100,3bd,Trulia,40.106425898989905,-88.21456379797979
80,"104 S  Grove St, Urbana, IL 61802",975,1bd,Trulia,40.11272906122449,-88.20132573469388
81,"104 S  Grove St, Urbana, IL 61802",760,1bd,Trulia,40.11272906122449,-88.20132573469388
82,"104 S  Grove St, Urbana, IL 61802",890,1bd,Trulia,40.11272906122449,-88.20132573469388
83,"104 S  Grove St, Urbana, IL 61802",925,1bd,Trulia,40.11272906122449,-88.20132573469388
84,"601 E  High St, Urbana, IL 61801",1200,2bd,Trulia,40.109937,-88.201192
85,"802 E  Michigan Ave, Urbana, IL 61801",1100,2bd,Trulia,40.1016785688794,-88.19891574259103
87,"705 W  Stoughton St, Urbana, IL 61801",1490,2bd,Trulia,40.11308376980759,-88.2162464562762
88,"907 W  Stoughton St, Urbana, IL 61801",1490,2bd,Trulia,40.113353599999996,-88.22010370000001
89,"504 E  Dodson Dr, Urbana, IL 61802",2250,3bd,Trulia,40.11745461126872,-88.17255767879435
90,"609 W  Main St, Urbana, IL 61801",1490,2bd,Trulia,40.113876816326524,-88.21495630612245
91,"1007 W  Clark St, Urbana, IL 61801",850,1bd,Trulia,40.1151723,-88.22161059628647
92,"1007 W  Clark St, Urbana, IL 61801",1090,2bd,Trulia,40.1151723,-88.22161059628647
93,"309 N  Busey Ave, Urbana, IL 61801",1490,2bd,Trulia,40.11514293303783,-88.21750332980398
94,"411 W  California Ave, Urbana, IL 61801",1490,3bd,Trulia,40.10825383964135,-88.21199864727248
95,"3201 Fawn Hill Ct, Urbana, IL 61802",2800,3bd,Trulia,40.077766,-88.189832
97,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
98,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
99,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
100,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
101,"908 N  Broadway Ave, Urbana, IL 61801",775,1bd,Trulia,40.12018438157885,-88.2077092012483
102,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
103,"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.12018438157885,-88.2077092012483
104,"904 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia,40.120171475274624,-88.20770863866582
