Address,Price,Beds,Source
"907 W  Stoughton St   #303, Urbana, IL 61801",1490,2bd,Trulia
"504 E  Dodson Dr, Urbana, IL 61802",2250,3bd,Trulia
"609 W  Main St, Urbana, IL 61801",1490,2bd,Trulia
"1007 W  Clark St   #13, Urbana, IL 61801",850,1bd,Trulia
"1007 W  Clark St   #16, Urbana, IL 61801",1090,2bd,Trulia
"309 N  Busey Ave  #10, Urbana, IL 61801",1490,2bd,Trulia
"411 W  California Ave, Urbana, IL 61801",1490,3bd,Trulia
"3201 Fawn Hill Ct, Urbana, IL 61802",2800,3bd,Trulia
"2309 Rocky Ln #0, Urbana, IL 61802",2900,3bd,Trulia
"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #109-1, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #13-1, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #208-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #303-1-1, Urbana, IL 61801",775,1bd,Trulia
"908 N  Broadway Ave #512-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #511-1, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #8-1, Urbana, IL 61801",895,2bd,Trulia
"2017 Philo Rd #2, Urbana, IL 61802",840,1bd,Trulia
"809 E  High St   #3, Urbana, IL 61801",735,1bd,Trulia
"402RAC, Urbana, IL 61801",885-950,Studio-1bd,Trulia
"1404 N  Broadway Ave, Urbana, IL 61801",1095,2bd,Trulia
"105 N  Coler Ave, Urbana, IL 61801",1800,3bd,Trulia
"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #517, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #523, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave  #101, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #511, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #523-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #409-1, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #101-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #407-1-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #308-1, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave  #12-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #401-1, Urbana, IL 61801",895,2bd,Trulia
"403 E  Elm St #6, Urbana, IL 61802",675,1bd,Trulia
"904 North Broadway, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave  #020, Urbana, IL 61801",895,2bd,Trulia
"904 N  Broadway Ave #216, Urbana, IL 61801",775,1bd,Trulia
"908 N  Broadway Ave #407-1, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #409, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave #402-1, Urbana, IL 61801",895,2bd,Trulia
"1702 Golfview Dr, Urbana, IL 61801",1800,3bd,Trulia
"904 N  Broadway Ave #17, Urbana, IL 61801",895,2bd,Trulia
"908 N  Broadway Ave  #516, Urbana, IL 61801",895,2bd,Trulia
"301 W  Illinois St, Urbana, IL 61801",1430,3bd,Trulia
"908 N  Broadway Ave #303-1, Urbana, IL 61801",775,1bd,Trulia
"312SPU, Urbana, IL 61801",960-1125,1-2bd,Trulia
"2120 S  Vine St, Urbana, IL 61801",3350,5bd,Trulia
"908 N  Broadway Ave  #302, Urbana, IL 61801",895,2bd,Trulia
"904 North Broadway, Urbana, IL 61801",895,2bd,Trulia
"310 W  Iowa St, Urbana, IL 61801",2830,4bd,Trulia
"704 W Elm St - 7 - A, Urbana, IL 61801",1150,2bd,Trulia
"702 W Elm St - 3 - A, Urbana, IL 61801",1150,2bd,Trulia
"704 W  Elm St   #A, Urbana, IL 61801",1150,2bd,Trulia
