Address,Price,Beds,Source,URL
"404 E Michigan Ave, Urbana, IL 61801","$980 – $1,000",2 beds,apartments.com,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"404 E Michigan Ave, Urbana, IL 61801",$750 – $800,2 beds,apartments.com,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"404 E Michigan Ave, Urbana, IL 61801",$875,3 beds,apartments.com,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"404 E Michigan Ave, Urbana, IL 61801","$1,025",1 bed,apartments.com,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"404 E Michigan Ave, Urbana, IL 61801",$770,2 beds,apartments.com,https://www.apartments.com/michigan-east-campus-property-management-urbana-il/bnkt6dc/
"1601 N Lincoln Ave, Urbana, IL 61801",$685,2 beds,apartments.com,https://www.apartments.com/the-linc-urbana-il/3lf7bxf/
"1601 N Lincoln Ave, Urbana, IL 61801",$590,3 beds,apartments.com,https://www.apartments.com/the-linc-urbana-il/3lf7bxf/
"1601 N Lincoln Ave, Urbana, IL 61801",$540,4 beds,apartments.com,https://www.apartments.com/the-linc-urbana-il/3lf7bxf/
"1321 N Lincoln Ave, Urbana, IL 61801","$1,245",1 bed,apartments.com,https://www.apartments.com/onyx-urbana-il/r66bf70/
"1321 N Lincoln Ave, Urbana, IL 61801",$655,2 beds,apartments.com,https://www.apartments.com/onyx-urbana-il/r66bf70/
"1321 N Lincoln Ave, Urbana, IL 61801",$675,2 beds,apartments.com,https://www.apartments.com/onyx-urbana-il/r66bf70/
"1321 N Lincoln Ave, Urbana, IL 61801",$490,4 beds,apartments.com,https://www.apartments.com/onyx-urbana-il/r66bf70/
"410 E Green St, Champaign, IL 61820",$950,3 beds,apartments.com,https://www.apartments.com/skylight-court-champaign-il/pf0recs/
"410 E Green St, Champaign, IL 61820","$1,000",3 beds,apartments.com,https://www.apartments.com/skylight-court-champaign-il/pf0recs/
"509 E Green St, Champaign, IL 61820","$1,100",2 beds,apartments.com,https://www.apartments.com/bankier-apartments-champaign-il/wb3k2dh/
"707 S 4th St, Champaign, IL 61820","$1,799",Studio,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,839",Studio,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,989",1 bed,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,289",2 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,305",2 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,330",2 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,499",2 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,220",3 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820",$969,4 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,059",4 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"707 S 4th St, Champaign, IL 61820","$1,099",4 beds,apartments.com,https://www.apartments.com/seven07-champaign-il/f4cwczs/
"11 E Columbia Ave, Champaign, IL 61820","$1,050",1 bed,apartments.com,https://www.apartments.com/the-quarters-champaign-il/w7dm2dj/
"11 E Columbia Ave, Champaign, IL 61820","$1,295 – $1,325",2 beds,apartments.com,https://www.apartments.com/the-quarters-champaign-il/w7dm2dj/
"512 S Third St, Champaign, IL 61820","$779 – $1,559",2 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$819 – $1,579",2 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$939 – $1,759",2 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$1,019 – $1,959",2 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820",$939,2 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$699 – $2,097",3 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$709 – $2,099",3 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$739 – $2,187",3 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$799 – $2,309",3 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$859 – $2,549",3 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$669 – $2,639",4 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$689 – $2,679",4 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$709 – $2,759",4 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$739 – $2,879",4 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"512 S Third St, Champaign, IL 61820","$779 – $3,039",4 beds,apartments.com,https://www.apartments.com/yugo-champaign-south-3rd-lofts-champaign-il/v90x0te/
"200 S Vine St, Urbana, IL 61802","$1,495",2 beds,apartments.com,https://www.apartments.com/200-vine-st-urbana-il/smjcy14/
"200 S Vine St, Urbana, IL 61802","$1,575 – $1,650",2 beds,apartments.com,https://www.apartments.com/200-vine-st-urbana-il/smjcy14/
"200 S Vine St, Urbana, IL 61802","$1,700 – $1,795",3 beds,apartments.com,https://www.apartments.com/200-vine-st-urbana-il/smjcy14/
"200 S Vine St, Urbana, IL 61802","$1,750",3 beds,apartments.com,https://www.apartments.com/200-vine-st-urbana-il/smjcy14/
"911 W Springfield Ave, Urbana, IL 61801",$725,1 bed,apartments.com,https://www.apartments.com/bailey-student-apartments-urbana-il/dq87hfk/
"911 W Springfield Ave, Urbana, IL 61801",$875,1 bed,apartments.com,https://www.apartments.com/bailey-student-apartments-urbana-il/dq87hfk/
"911 W Springfield Ave, Urbana, IL 61801","$1,050",2 beds,apartments.com,https://www.apartments.com/bailey-student-apartments-urbana-il/dq87hfk/
"911 W Springfield Ave, Urbana, IL 61801","$1,125",4 beds,apartments.com,https://www.apartments.com/bailey-student-apartments-urbana-il/dq87hfk/
"1306 N Lincoln Ave, Urbana, IL 61801",$445,1 bed,apartments.com,https://www.apartments.com/the-atrium-urbana-il/lc5jbfe/
"1306 N Lincoln Ave, Urbana, IL 61801",$425,4 beds,apartments.com,https://www.apartments.com/the-atrium-urbana-il/lc5jbfe/
"1714 E Colorado Ave, Urbana, IL 61802","$975 – $1,125",1 bed,apartments.com,https://www.apartments.com/stone-ridge-square-urbana-il/h5bz213/
"1714 E Colorado Ave, Urbana, IL 61802","$1,150",2 beds,apartments.com,https://www.apartments.com/stone-ridge-square-urbana-il/h5bz213/
"1714 E Colorado Ave, Urbana, IL 61802","$1,155 – $1,275",2 beds,apartments.com,https://www.apartments.com/stone-ridge-square-urbana-il/h5bz213/
"1714 E Colorado Ave, Urbana, IL 61802","$1,300 – $1,475",3 beds,apartments.com,https://www.apartments.com/stone-ridge-square-urbana-il/h5bz213/
"314 S State St, Champaign, IL 61820","$1,375 – $1,400",1 bed,apartments.com,https://www.apartments.com/314-s-state-st-champaign-il/c74n4wf/
"314 S State St, Champaign, IL 61820","$1,295 – $1,350",1 bed,apartments.com,https://www.apartments.com/314-s-state-st-champaign-il/c74n4wf/
"314 S State St, Champaign, IL 61820","$1,695",2 beds,apartments.com,https://www.apartments.com/314-s-state-st-champaign-il/c74n4wf/
"405 E Stoughton St, Champaign, IL 61820","$1,220 – $1,395",Studio,apartments.com,https://www.apartments.com/405-e-stoughton-st-champaign-il/0twzme1/
"405 E Stoughton St, Champaign, IL 61820","$1,420 – $1,570",1 bed,apartments.com,https://www.apartments.com/405-e-stoughton-st-champaign-il/0twzme1/
"405 E Stoughton St, Champaign, IL 61820","$1,820 – $2,350",2 beds,apartments.com,https://www.apartments.com/405-e-stoughton-st-champaign-il/0twzme1/
"405 E Stoughton St, Champaign, IL 61820","$2,520 – $2,880",3 beds,apartments.com,https://www.apartments.com/405-e-stoughton-st-champaign-il/0twzme1/
"1009 S 2nd St, Champaign, IL 61820",$715 – $795,2 beds,apartments.com,https://www.apartments.com/1009-s-2nd-st-champaign-il/kf1ky79/
"1009 S 2nd St, Champaign, IL 61820",$600 – $695,4 beds,apartments.com,https://www.apartments.com/1009-s-2nd-st-champaign-il/kf1ky79/
"1009 S 2nd St, Champaign, IL 61820","$1,150 – $1,320",4 beds,apartments.com,https://www.apartments.com/1009-s-2nd-st-champaign-il/kf1ky79/
"203 S 3rd St, Champaign, IL 61820",$475 – $550,1 bed,apartments.com,https://www.apartments.com/pfeffer-apartments-available-august-2024-champaign-il/7h106hw/
"203 S 3rd St, Champaign, IL 61820","$1,400 – $1,550",3 beds,apartments.com,https://www.apartments.com/pfeffer-apartments-available-august-2024-champaign-il/7h106hw/
"203 S 3rd St, Champaign, IL 61820","$1,950 – $2,200",4 beds,apartments.com,https://www.apartments.com/pfeffer-apartments-available-august-2024-champaign-il/7h106hw/
"1010 W University Ave, Urbana, IL 61801","$1,099",4 beds,apartments.com,https://www.apartments.com/campus-circle-urbana-il/ss0vss7/
"1010 W University Ave, Urbana, IL 61801","$1,109",4 beds,apartments.com,https://www.apartments.com/campus-circle-urbana-il/ss0vss7/
"707 W Springfield Ave, Urbana, IL 61801","$1,360",1 bed,apartments.com,https://www.apartments.com/707-w-springfield-ave-urbana-il/4tmjqqj/
"707 W Springfield Ave, Urbana, IL 61801","$1,675",2 beds,apartments.com,https://www.apartments.com/707-w-springfield-ave-urbana-il/4tmjqqj/
"707 W Springfield Ave, Urbana, IL 61801","$1,695",2 beds,apartments.com,https://www.apartments.com/707-w-springfield-ave-urbana-il/4tmjqqj/
"1606 Willow View Rd, Urbana, IL 61802",$875,2 beds,apartments.com,https://www.apartments.com/willow-springs-urbana-il/ng7e5tq/
"1606 Willow View Rd, Urbana, IL 61802",$895,2 beds,apartments.com,https://www.apartments.com/willow-springs-urbana-il/ng7e5tq/
"1606 Willow View Rd, Urbana, IL 61802","$1,490",2 beds,apartments.com,https://www.apartments.com/willow-springs-urbana-il/ng7e5tq/
"1601 E Florida Ave, Urbana, IL 61802",$629,2 beds,apartments.com,https://www.apartments.com/the-pointe-at-u-of-i-urbana-il/wgyx9eh/
"1601 E Florida Ave, Urbana, IL 61802",$525,3 beds,apartments.com,https://www.apartments.com/the-pointe-at-u-of-i-urbana-il/wgyx9eh/
"908 N Broadway Ave, Urbana, IL 61801",$775,1 bed,apartments.com,https://www.apartments.com/university-park-urbana-il/gkps53x/
"908 N Broadway Ave, Urbana, IL 61801",$895,2 beds,apartments.com,https://www.apartments.com/university-park-urbana-il/gkps53x/
"907 E Harding Dr, Urbana, IL 61801","$975 – $1,100",2 beds,apartments.com,https://www.apartments.com/windsor-duplexes-urbana-il/t5nzvr9/
